,Avg Filter HL,Avg Noise HL,Improv HL
P298,0.1466093450514449,0.34849645455644374,57.93
P299,0.39568541190201867,0.6669474619103855,40.67
P300,0.18481145801672577,0.3766690651517012,50.94
P301,0.36767379498289016,0.8029142730476897,54.21
P302,0.3566538378784474,0.6318906601915425,43.56
P303,0.36694061394335986,0.6970986280473928,47.36
P305,0.23609096254300543,0.41333501760867064,42.88
P306,0.3166211315419639,0.711092058886129,55.47
P308,0.33015099310989227,0.42294068056705186,21.94
P309,0.4134871644540139,0.774361783638555,46.6
P310,0.2675738014412956,0.5479408787351144,51.17
P311,0.3272808787937479,0.6932320665295151,52.79
P312,0.2706790826024663,0.6484337229222971,58.26
P314,0.39967356102826235,0.4487861138435922,10.94
P315,0.21922866663085575,0.5828941899556128,62.39
P316,0.10432634382832273,0.3290806794230525,68.3
P319,0.3972971445308134,0.5056665831774303,21.43
P320,0.3801346507947838,0.8280475140556423,54.09
P321,0.321063816997297,0.7631225588112923,57.93
P322,0.3879712511437045,0.5209696132084326,25.53
P324,0.4441080507677415,0.817070223543163,45.65
P325,0.4128275827624663,0.6746327262787621,38.81
P327,0.41729215329330693,0.6421314361056115,35.01
P330,0.33485916436041613,0.6571776116732693,49.05
P331,0.24216024081068976,0.5837895213295936,58.52
P332,0.32599697296012586,0.5439365856303554,40.07
P333,0.10738910669478871,0.368510964186321,70.86
P335,0.3510892687369389,0.4499138942777101,21.97
P336,0.32913638772710396,0.5688099153744053,42.14
P337,0.20116762138255334,0.54838265422322,63.32
P338,0.19441842405012671,0.6314355745857667,69.21
P339,0.46981699132316224,0.7260161003189831,35.29
P340,0.027849448493704458,0.16051191732391998,82.65
P341,0.32692293675161155,0.6914240398401272,52.72
P342,0.2115720466580656,0.5480146375834238,61.39
P343,0.30501423985754306,0.6233320339849489,51.07
P344,0.3497810231657776,0.6507231177117757,46.25
P345,0.2828540923813416,0.2179766681267691,-29.76
P346,0.3104641161259474,0.6772177960571275,54.16
P347,0.26636482721415866,0.6107988787983989,56.39
P348,0.1588951719521185,0.35152286489175444,54.8
P351,0.32928917731627244,0.6419324233749266,48.7
P352,0.4428632019033023,0.686288501353316,35.47
P353,0.24103594082343813,0.5572894457526387,56.75
P354,0.3693489330050947,0.6229986682483145,40.71
P355,0.3278763687268346,0.7715504480443004,57.5
P356,0.21431800810659662,0.6015366387690084,64.37
P357,0.3123118871650111,0.6086335469305112,48.69
P358,0.3460845133950454,0.6327345403462142,45.3
P359,0.3907611439079133,0.70121120485584,44.27
P360,0.1741789063644926,0.3772315981706694,53.83
P361,0.35002278932196773,0.7863620208485453,55.49
P362,0.07591169158916777,0.3703258970359367,79.5
P363,0.3441692074197995,0.5629192486059966,38.86
P364,0.33990179375808965,0.5780691201662262,41.2
P366,0.3589847227724869,0.8011576812978596,55.19
P367,0.43461225583492497,0.42942813407875713,-1.21
P368,0.43111206909225064,0.7492993250352509,42.46
P370,0.30640701295606426,0.6539143855463397,53.14
P371,0.4180443288654599,0.6039893605212283,30.79
P372,0.3515384881613486,0.5925044444631333,40.67
P374,0.3681944717364955,0.6223967779952322,40.84
P375,0.32652085580700013,0.5049670549514484,35.34
